Year	Azerbaijan	Armenia	Belarus	Georgia	Kazakhstan	Kyrghizstan	Latvia	Lithuania	Moldova	Russia	Tajikistan	Turkmenikstan	Uzbekistan	Ukraine	Estonia
1958	5.08	4.6899999999999995	2.8	2.59	4.5	4.39	1.94	2.63	3.57	2.63	3.98	5.18	5.11	2.3	1.95
1959	5.08	4.73	2.8	2.59	4.5	4.39	1.94	2.63	3.57	2.63	3.98	5.18	5.11	2.3	1.95
1960	5.01	4.5	2.8	2.65	4.33	4.51	1.94	2.59	3.46	2.56	4.33	5.43	5.25	2.24	1.96
1961	5.34	4.27	2.61	2.65	4.15	4.63	1.94	2.57	3.23	2.4699999999999998	4.6899999999999995	5.67	5.38	2.17	1.97
1962	5.37	4.17	2.57	2.65	4.15	4.63	1.9100000000000001	2.44	3.04	2.36	4.6899999999999995	5.67	5.38	2.14	1.96
1963	5.44	4.11	2.46	2.62	3.9	4.62	1.85	2.34	2.89	2.31	4.84	5.75	5.31	2.06	1.94
1964	5.4	3.98	2.36	2.62	3.7	4.6	1.79	2.29	2.7	2.19	5.06	5.87	5.43	1.96	1.94
1965	5.27	3.9	2.27	2.6	3.54	4.6899999999999995	1.74	2.21	2.69	2.12	5.41	5.9399999999999995	5.57	1.99	1.9300000000000002
1966	5.09	3.69	2.2800000000000002	2.6	3.52	4.76	1.76	2.23	2.68	2.13	5.5600000000000005	6.1	5.64	2.02	1.92
1967	4.97	3.55	2.26	2.5300000000000002	3.42	4.71	1.8	2.23	2.75	2.04	5.55	6.05	5.57	2.01	1.95
1968	4.79	3.46	2.23	2.5300000000000002	3.32	4.71	1.83	2.25	2.73	1.99	5.95	6.04	5.73	1.98	2.03
1969	4.64	3.2	2.18	2.62	3.26	4.68	1.88	2.3	2.57	2.0	6.02	6.09	5.76	2.04	2.11
1970	4.5600000000000005	3.16	2.3	2.62	3.32	4.89	2.02	2.39	2.56	2.0	5.97	5.97	5.68	2.1	2.16
1971	4.3	3.17	2.34	2.61	3.37	4.97	2.04	2.41	2.63	2.03	6.1	6.0	5.84	2.12	2.19
1972	4.13	3.07	2.36	2.61	3.37	4.97	2.03	2.35	2.63	2.03	6.15	5.9	5.45	2.08	2.14
1973	4.04	2.92	2.29	2.58	3.32	4.89	1.96	2.22	2.59	1.96	6.07	5.87	5.67	2.04	2.07
1974	3.95	2.82	2.24	2.58	3.31	4.8100000000000005	2.0	2.21	2.57	2.0	6.2	5.85	5.71	2.04	2.07
1975	3.92	2.79	2.2	2.52	3.3	4.75	1.97	2.18	2.52	1.97	6.26	5.77	5.68	2.02	2.04
1976	3.82	2.7199999999999998	2.16	2.52	3.26	4.87	1.9300000000000002	2.18	2.46	1.96	6.35	5.74	5.66	1.99	2.06
1977	3.66	2.61	2.11	2.33	3.22	4.78	1.8900000000000001	2.14	2.39	1.92	6.19	5.7	5.48	1.94	2.06
1978	3.49	2.46	2.08	2.33	3.13	4.5600000000000005	1.87	2.09	2.38	1.9	5.99	5.5	5.25	1.96	2.03
1979	3.33	2.38	2.06	2.26	3.03	4.41	1.87	2.05	2.39	1.87	5.97	5.27	5.1	1.96	2.01
1980	3.23	2.31	2.04	2.26	2.9	4.07	1.9	1.99	2.41	1.8599999999999999	5.64	4.93	4.8100000000000005	1.95	2.02
1981	3.11	2.34	2.07	2.25	2.91	4.09	1.9	1.98	2.45	1.88	5.63	4.92	4.8100000000000005	1.9300000000000002	2.07
1982	3.05	2.35	2.02	2.2	2.93	4.09	1.98	1.97	2.57	1.96	5.59	4.8	4.77	1.94	2.08
1983	2.98	2.42	2.09	2.19	2.93	4.09	2.13	2.1	2.67	2.09	5.47	4.8	4.65	2.11	2.16
1984	2.93	2.49	2.14	2.24	2.98	4.13	2.15	2.07	2.66	2.05	5.46	4.68	4.61	2.08	2.17
1985	2.94	2.54	2.08	2.27	3.03	4.14	2.09	2.09	2.75	2.05	5.49	4.67	4.65	2.02	2.12
1986	2.93	2.57	2.1	2.27	3.08	4.18	2.21	2.12	2.7800000000000002	2.18	5.6	4.73	4.7	2.13	2.17
1987	2.83	2.55	2.04	2.19	3.16	4.22	2.21	2.11	2.7	2.23	5.6899999999999995	4.77	4.66	2.07	2.26
1988	2.79	2.49	2.04	2.13	3.13	4.01	2.16	2.02	2.63	2.13	5.38	4.6	4.3	2.05	2.26
1989	2.7199999999999998	2.61	2.02	2.11	2.84	3.8	2.05	1.98	2.5	2.01	5.08	4.3	4.02	1.9300000000000002	2.21
1990	2.62	2.62	1.9	2.15	2.76	3.6	2.0	2.03	2.39	1.8900000000000001	5.09	4.2	4.07	1.8900000000000001	2.05
1991	2.89	2.59	1.79	2.07	2.7199999999999998	3.6	1.8599999999999999	2.01	2.2800000000000002	1.73	5.04	4.1	4.2	1.81	1.8
1992	2.7800000000000002	2.35	1.76	1.72	2.62	3.5	1.74	1.94	2.22	1.55	4.13	3.9	4.0	1.72	1.71
1993	2.74	1.97	1.62	1.54	2.45	3.1	1.52	1.74	2.06	1.37	4.23	3.7	3.8	1.56	1.49
1994	2.56	1.71	1.53	1.52	2.41	2.9	1.41	1.5699999999999998	1.9300000000000002	1.3900000000000001	4.35	3.6	3.5300000000000002	1.46	1.42
1995	2.3	1.8399999999999999	1.4	1.54	2.22	3.1	1.27	1.55	1.74	1.34	4.38	3.5	3.59	1.38	1.38
1996	2.06	1.6	1.33	1.55	2.05	2.8	1.18	1.49	1.5899999999999999	1.27	3.94	3.3	3.31	1.31	1.37
1997	2.03	1.46	1.25	1.55	1.9	2.6	1.13	1.47	1.65	1.22	4.02	3.2	3.08	1.25	1.31
1998	1.8900000000000001	1.45	1.29	1.5	1.8399999999999999	2.8	1.11	1.46	1.67	1.23	4.1	3.1	2.81	1.19	1.28
1999	1.72	1.2	1.29	1.44	1.8	2.6	1.18	1.46	1.3900000000000001	1.16	3.84	3.0	2.7199999999999998	1.11	1.31
2000	1.71	1.31	1.31	1.46	1.85	2.4	1.24	1.3900000000000001	1.3	1.2	3.68	2.9	2.58	1.1	1.38
2001	1.6	1.24	1.27	1.44	1.8399999999999999	2.4	1.21	1.3	1.25	1.22	3.81	2.8	2.46	1.08	1.33
2002	1.58	1.21	1.22	1.42	1.88	2.5	1.23	1.24	1.21	1.29	3.81	2.6	2.52	1.13	1.37
2003	1.6	1.35	1.21	1.37	2.03	2.5	1.29	1.26	1.22	1.32	2.4	2.6	2.36	1.17	1.37
2004	1.8199999999999998	1.38	1.2	1.44	2.21	2.6	1.24	1.26	1.25	1.34	3.1	2.6	2.46	1.22	1.46
2005	2.0	1.37	1.2	1.4	2.0	2.6	1.31	1.3	1.2	1.29	4.1	2.9	2.7	1.2	1.5
