Game	Date	Opponent	Result	Rams points	Opponents	Record	Attendance
1	Sept. 10	at Atlanta Falcons	Win	31	21	1-0	38708
2	Sept. 17	Indianapolis Colts	Win	31	17	2-0	63995
3	Sept. 24	Green Bay Packers	Win	41	38	3-0	57701
4	Oct. 1	at San Francisco 49ers	Win	13	12	4-0	64250
5	Oct. 8	Atlanta Falcons	Win	26	14	5-0	52182
6	Oct. 16	at Buffalo Bills	Loss	20	23	5-1	76231
7	Oct. 22	New Orleans Saints	Loss	21	40	5-2	57567
8	Oct. 29	at Chicago Bears	Loss	10	20	5-3	65506
9	Nov. 5	at Minnesota Vikings	Loss	21	23	5-4	59600
10	Nov. 12	New York Giants	Win	31	10	6-4	65127
11	Nov. 19	Phoenix Cardinals	Win	37	14	7-4	53176
12	Nov. 26	at New Orleans Saints	Win	20	17	8-4	64274
13	Dec. 3	at Dallas Cowboys	Win	35	31	9-4	46100
14	Dec. 11	San Francisco 49ers	Loss	27	30	9-5	67959
15	Dec. 17	New York Jets	Win	38	14	10-5	53063
16	Dec. 24	at New England Patriots	Win	24	20	11-5	27940
