Week	Date	Opponent	Result	Game site	Attendance
1	1989-09-10	New England Patriots	L 27–24	The Meadowlands	64541
2	1989-09-17	at Cleveland Browns	L 38–24	Cleveland Stadium	73516
3	1989-09-24	at Miami Dolphins	W 40–33	Joe Robbie Stadium	65908
4	1989-10-01	Indianapolis Colts	L 17–10	The Meadowlands	65542
5	1989-10-09	Los Angeles Raiders	L 14–7	The Meadowlands	68040
6	1989-10-15	at New Orleans Saints	L 29–14	Louisiana Superdome	59521
7	1989-10-22	at Buffalo Bills	L 34–3	Rich Stadium	76811
8	1989-10-29	San Francisco 49ers	L 23–10	The Meadowlands	62805
9	1989-11-05	at New England Patriots	W 27–26	Foxboro Stadium	53366
10	1989-11-12	Miami Dolphins	L 31–23	The Meadowlands	65923
11	1989-11-19	at Indianapolis Colts	L 27–10	Hoosier Dome	58236
12	1989-11-26	Atlanta Falcons	W 27–7	The Meadowlands	40429
13	1989-12-03	at San Diego Chargers	W 20–17	Jack Murphy Stadium	38954
14	1989-12-10	Pittsburgh Steelers	L 13–0	The Meadowlands	41037
15	1989-12-17	at Los Angeles Rams	L 38–14	Anaheim Stadium	53063
16	1989-12-23	Buffalo Bills	L 37–0	The Meadowlands	21148
