Riding	Candidate's Name	Gender	Residence	Occupation	Votes	Rank
Abitibi—Baie-James—Nunavik—Eeyou	Yvon Lévesque	M	Val-Senneville	Labour relations Councillor	10995	1st
Abitibi—Témiscamingue	Marc Lemay	M	Rouyn-Noranda	Lawyer	20929	1st
Ahuntsic	Maria Mourani	F	Blainville	Parliamentarian	18815	1st
Alfred-Pellan	Robert Carrier	M	Laval	Engineer	20686	1st
Argenteuil—Papineau—Mirabel	Mario Laframboise	M	Notre-Dame-de-la-Paix	Parliamentarian	26455	1st
Bas-Richelieu—Nicolet—Bécancour	Louis Plamondon	M	Sorel-Tracy	Parliamentarian	26821	1st
Beauce	André Côté	M	Saint-Georges	Recreologist	7143	2nd
Beauharnois—Salaberry	Claude DeBellefeuille	F	Ormstown	Parliamentarian	26904	1st
Beauport—Limoilou	Éléonore Mainguy	F	Quebec City	Clerk	15962	2nd
Berthier—Maskinongé	Guy André	M	Trois-Rivières	Parliamentarian	24945	1st
Bourassa	Daniel Mailhot	M	Montreal	Adjunct-Director of the Montreal School Board	10145	2nd
Brome—Missisquoi	Christian Ouellet	M	Cowansville	Architect	17561	1st
Brossard—La Prairie	Marcel Lussier	M	Brossard	Engineer	19034	2nd
Chambly—Borduas	Yves Lessard	M	Saint-Basile-le-Grand	Labour Relations Councillor	31773	1st
Charlesbourg—Haute-Saint-Charles	Denis Courteau	M	Quebec City	Regional Councillor	14602	2nd
Châteauguay—Saint-Constant	Carole Freeman	F	Léry	Lawyer	25086	1st
Chicoutimi—Le Fjord	Robert Bouchard	M	Chicoutimi	Parliamentarian	19737	1st
Compton—Stanstead	France Bonsant	F	Sherbrooke	Parliamentarian	20332	1st
Drummond	Roger Pomerleau	M	Lefebvre	Political Assistant	17613	1st
Gaspésie—Îles-de-la-Madeleine	Raynald Blais	M	Chandler	Parliamentarian	14636	1st
Gatineau	Richard Nadeau	M	Gatineau	Parliamentarian	15189	1st
Haute-Gaspésie—La Mitis—Matane—Matapédia	Jean-Yves Roy	M	Rimouski	Teacher	11984	1st
Hochelaga	Réal Ménard	M	Montreal	Political Scientist	22720	1st
Honoré-Mercier	Gérard Labelle	M	L'Île-Perrot	Businessman	13871	2nd
Hull—Aylmer	Raphael Déry	M	Gatineau	French Professor	11625	2nd
Jeanne-Le Ber	Thierry St-Cyr	M	Montreal	Engineer	17144	1st
Joliette	Pierre Paquette	M	Saint-Alphonse-Rodriguez	Economist	28040	1st
Jonquière—Alma	Chantale Bouchard	F	Montreal	Lawyer	19035	2nd
La Pointe-de-l'Île	Francine Lalonde	F	Laval	Parliamentarian	25976	1st
Lac-Saint-Louis	Maxime Clément	M	L'Assomption	Student	2953	5th
LaSalle—Émard	Frédéric Isaya	M	Montreal	Actor	10384	2nd
Laurentides—Labelle	Johanne Deschamps	F	Mont-Laurier	Parliamentarian	24956	1st
Laurier—Sainte-Marie	Gilles Duceppe	M	Montreal	Parliamentarian	24103	1st
Laval	Nicole Demers	F	Laval	Parliamentarian	19085	1st
Laval—Les Îles	Mohamedali Jetha	M	Laval	Machinist	12576	2nd
Lévis—Bellechasse	Guy Bergeron	M	Quebec City	Political Scientist	13747	2nd
Longueuil—Pierre-Boucher	Jean Dorion	M	Montreal	Sociologist	23118	1st
Lotbinière—Chutes-de-la-Chaudière	Antoine Sarrazin-Bourgoin	M	Saint-Antoine-de-Tilly	Student	12738	2nd
Louis-Hébert	Pascal-Pierre Paillé	M	Quebec City	Teacher	20992	1st
Louis-Saint-Laurent	France Gagné	F	Quebec City	Technician	13330	2nd
Manicouagan	Gérard Asselin	M	Baie-Comeau	Parliamentarian	15272	1st
Marc-Aurèle-Fortin	Serge Ménard	M	Saint-Lambert	Lawyer	25552	1st
Mégantic—L'Érable	Pierre Turcotte	M	Thetford Mines	Notary	12283	2nd
Montcalm	Roger Gaudet	M	Saint-Liguori	Parliamentarian	33519	1st
Montmagny—L'Islet—Kamouraska—Rivière-du-Loup	Paul Crête	M	La Pocatière	Parliamentarian	20494	1st
Montmorency—Charlevoix—Haute-Côte-Nord	Michel Guimond	M	Boischatel	Parliamentarian and Lawyer	21068	1st
Mount Royal	Maryse Lavallée	F	Montreal	Director of Québec Alcohol Corporation	1543	5th
Notre-Dame-de-Grâce—Lachine	Eric Taillefer	M	Terrebonne	Student	6962	3rd
Outremont	Marcela Valdivia	F	Montreal	Lawyer	4554	3rd
Papineau	Vivian Barbot	F	Montreal	Parliamentarian	16535	2nd
Pierrefonds—Dollard	Reny Gagnon	M	Laval	Insurance Salesman	4357	4th
Pontiac	Marius Tremblay	M	Plaisance	Composer/Researcher	9576	3rd
Portneuf—Jacques-Cartier	Richard Côté	M	Neuville	Polling Director	14401	2nd
Québec	Christiane Gagnon	F	Quebec City	Real Estate Agent	21064	1st
Repentigny	Nicolas Dufour	M	Repentigny	Student	31007	1st
Richmond—Arthabaska	André Bellavance	M	Victoriaville	Parliamentarian	23913	1st
Rimouski-Neigette—Témiscouata—Les Basques	Claude Guimond	M	Rimouski	Farmer	17652	1st
Rivière-des-Mille-Îles	Luc Desnoyers	M	Montreal	Retired	23216	1st
Rivière-du-Nord	Monique Guay	F	Prévost	Parliamentarian	26588	1st
Roberval—Lac-Saint-Jean	Claude Pilote	M	Roberval	Businessman	14619	2nd
Rosemont—La Petite-Patrie	Bernard Bigras	M	Montreal	Parliamentarian	27260	1st
Saint-Bruno—Saint-Hubert	Carole Lavallée	F	Longueuil	Communicator	23767	1st
Saint-Hyacinthe—Bagot	Ève-Mary Thaï Thi Lac	F	Saint-Hyacinthe	Parliamentarian	22719	1st
Saint-Jean	Claude Bachand	M	Saint-Jean-sur-Richelieu	Parliamentarian	26506	1st
Saint-Lambert	Josée Beaudin	F	Belœil	Coordinator	16346	1st
Saint-Laurent—Cartierville	Jacques Lachaine	M	Montreal	Retired Teacher	4611	3rd
Saint-Léonard—Saint-Michel	Farid Salem	M	Longueuil	Consultant	5146	3rd
Saint-Maurice—Champlain	Jean-Yves Laforest	M	Shawinigan	Gym Teacher	20397	1st
Shefford	Robert Vincent	M	Granby	Parliamentarian	21650	1st
Sherbrooke	Serge Cardin	M	Sherbrooke	Parliamentarian	25502	1st
Terrebonne—Blainville	Diane Bourgeois	F	Terrebonne	Parliamentarian	28303	1st
Trois-Rivières	Paule Brunelle	F	Champlain	Parliamentarian	22405	1st
Vaudreuil—Soulanges	Meili Faille	F	Rigaud	Parliamentarian	27044	1st
Verchères—Les Patriotes	Luc Malo	M	Contrecoeur	Parliamentarian	27602	1st
Westmount—Ville-Marie	Charles Larivée	M	Montreal	Logistic Service Coordinator	2818	4th
