Date	Opponent	Location	Result	Attendance
09/06/1980	Virginia Tech	Groves Stadium • Winston-Salem, NC	L 7-18	24500
09/20/1980	Citadel	Groves Stadium • Winston-Salem, NC	W 24-7	22500
09/27/1980*	at North Carolina State	Carter-Finley Stadium • Raleigh, NC	W 27-7	47800
10/04/1980	at William & Mary	Zable Stadium • Williamsburg, VA	W 27-7	15800
10/11/1980*	#8 North Carolina	Groves Stadium • Winston-Salem, NC	L 9-27	37411
10/18/1980*	at Maryland	Byrd Stadium • College Park, MD	L 10-11	36472
10/25/1980*	Virginia	Groves Stadium • Winston-Salem, NC	L 21-24	23300
11/01/1980*	Clemson	Groves Stadium • Winston-Salem, NC	L 33-35	28200
11/08/1980*	at Duke	Wallace Wade Stadium • Durham, NC	W 27-24	23000
11/15/1980	at #14 South Carolina	Williams-Brice Stadium • Columbia, SC	L 38-39	55583
11/22/1980	Appalachian State	Groves Stadium • Winston-Salem, NC	W 28-16	23000
