Date	Opponent	Score	Leading Scorer	Attendance	Record
May 18	vs. Detroit	84-70	Charde Houston (21)	9972	1-0
May 27	@ Houston	98-92 (OT)	Seimone Augustus (25)	7261	2-0
May 29	@ Chicago	75-69	Seimone Augustus (19)	3014	3-0
May 31	vs. Phoenix	94-83	Seimone Augustus (22)	6914	4-0
June 3	@ Atlanta	85-81	Candice Wiggins (22)	5844	5-0
June 6	@ Connecticut	77-78	Seimone Augustus (22)	6327	5-1
June 8	vs. San Antonio	90-78	Seimone Augustus (18)	5020	6-1
June 10	vs. Connecticut	66-75	Candice Wiggins (22)	7186	6-2
June 12	vs. Sacramento	78-82	Seimone Augustus (21)	4875	6-3
June 14	@ New York	76-77	Candice Wiggins (26)	7452	6-4
June 20	@ Detroit	93-98 (OT)	Seimone Augustus (26)	8916	6-5
June 21	vs. Houston	65-72	Candice Wiggins (24)	5865	6-6
June 24	vs. New York	91-69	Seimone Augustus (21)	6280	7-6
June 26	vs. Sacramento	80-76	Seimone Augustus (23)	5722	8-6
June 28	@ San Antonio	65-73	Nicky Anosike (16)	7513	8-7
July 1	vs. Chicago	71-73	Candice Wiggins (17)	4765	8-8
July 3	@ Los Angeles	88-70	Seimone Augustus (29)	8587	9-8
July 5	@ Seattle	71-96	Nicky Anosike (15)	7553	9-9
July 9	vs. Atlanta	67-73	Seimone Augustus (17)	5893	9-10
July 12	vs. Houston	85-71	Seimone Augustus (27)	6495	10-10
July 17	@ Houston	88-96	Candice Wiggins (27)	7261	10-11
July 19	@ San Antonio	87-74	Seimone Augustus (30)	8614	11-11
July 22	vs. Seattle	73-76	Charde Houston (16)	12276	11-12
July 24	@ Indiana	84-80 (OT)	Seimone Augustus (25)	6010	12-12
July 25	vs. San Antonio	78-68	Seimone Augustus (20)	7247	13-12
July 27	vs. Los Angeles	84-92 (OT)	Seimone Augustus (29)	9433	13-13
August 30	vs. Washington	92-78	Candice Wiggins (22)	6980	14-13
September 1	@ Los Angeles	58-82	Seimone Augustus (13)	9072	14-14
September 3	@ Phoenix	96-103	Seimone Augustus (27)	7722	14-15
September 6	@ Seattle	88-96	Seimone Augustus (26)	9339	14-16
September 7	@ Sacramento	71-78	Charde Houston (19)	7999	14-17
September 9	vs. Indiana	86-76	Charde Houston (18)	6706	15-17
September 12	vs. Phoenix	87-96	Lindsey Harding (20)	8343	15-18
September 14	@ Washington	96-70	Charde Houston (18)	10438	16-18
