Rank	Name and flag	Water area (km 2 )	Water area as percentage of total area	Percentage of national freshwater area
1	Quebec	176928	11.5%	19.9%
2	Northwest Territories	163021	12.1%	18.3%
3	Ontario	158654	14.7%	17.8%
4	Nunavut	157077	7.5%	17.6%
5	Manitoba	94241	14.5%	10.6%
6	Saskatchewan	59366	9.1%	6.7%
7	Newfoundland and Labrador	31340	7.7%	3.5%
8	British Columbia	19549	2.1%	2.2%
9	Alberta	19531	3.0%	2.2%
10	Yukon	8052	1.7%	0.9%
11	Nova Scotia	1946	3.5%	0.2%
12	New Brunswick	1458	2.0%	0.2%
13	Prince Edward Island	0	0.0%	0.0%
Total	Canada	891163	8.9%	100.0%
