Code	Type	Name	Area (km 2 )	Population	Regional County Municipality	Region
17005	M	Saint-Omer	125.35	362	L'Islet	12
17010	V	Saint-Pamphile	136.8	2774	L'Islet	12
17015	M	Saint-Adalbert	213.95	694	L'Islet	12
17020	M	Saint-Marcel	178.86	527	L'Islet	12
17025	M	Sainte-Félicité	95.82	431	L'Islet	12
17030	M	Sainte-Perpétue	284.51	1900	L'Islet	12
17035	M	Tourville	161.51	708	L'Islet	12
17040	M	Saint-Damase-de-L'Islet	259.72	605	L'Islet	12
17045	P	Saint-Cyrille-de-Lessard	228.95	760	L'Islet	12
17055	M	Saint-Aubert	97.15	1370	L'Islet	12
17060	P	Sainte-Louise	73.03	734	L'Islet	12
17065	P	Saint-Roch-des-Aulnaies	48.28	1003	L'Islet	12
17070	M	Saint-Jean-Port-Joli	68.55	3415	L'Islet	12
17078	M	L'Islet	119.44	3876	L'Islet	12
18005	M	Saint-Just-de-Bretenières	132.35	808	Montmagny	12
18010	M	Lac-Frontière	51.33	168	Montmagny	12
18015	P	Saint-Fabien-de-Panet	185.31	1024	Montmagny	12
18020	M	Sainte-Lucie-de-Beauregard	80.18	306	Montmagny	12
18025	P	Sainte-Apolline-de-Patton	255.7	638	Montmagny	12
18030	M	Saint-Paul-de-Montminy	162.8	866	Montmagny	12
18035	M	Sainte-Euphémie-sur-Rivière-du-Sud	93.21	340	Montmagny	12
18040	M	Notre-Dame-du-Rosaire	158.53	391	Montmagny	12
18045	M	Cap-Saint-Ignace	227.76	3225	Montmagny	12
18050	V	Montmagny	125.76	11667	Montmagny	12
18055	P	Saint-Pierre-de-la-Rivière-du-Sud	92.28	915	Montmagny	12
18060	M	Saint-François-de-la-Rivière-du-Sud	95.49	1585	Montmagny	12
18065	M	Berthier-sur-Mer	26.05	1356	Montmagny	12
18070	P	Saint-Antoine-de-l'Isle-aux-Grues	26.4	155	Montmagny	12
19005	P	Saint-Philémon	146.51	824	Bellechasse	12
19010	P	Notre-Dame-Auxiliatrice-de-Buckland	96.32	800	Bellechasse	12
19015	P	Saint-Nazaire-de-Dorchester	51.43	396	Bellechasse	12
19020	P	Saint-Léon-de-Standon	136.9	1306	Bellechasse	12
19025	P	Saint-Malachie	100.59	1399	Bellechasse	12
19030	P	Saint-Damien-de-Buckland	85.17	2187	Bellechasse	12
19037	M	Armagh	168.15	1578	Bellechasse	12
19045	M	Saint-Nérée-de-Bellechasse	75.73	804	Bellechasse	12
19050	M	Saint-Lazare-de-Bellechasse	85.53	1141	Bellechasse	12
19055	M	Sainte-Claire	88.63	3189	Bellechasse	12
19062	M	Saint-Anselme	74.45	3345	Bellechasse	12
19068	M	Saint-Henri	121.78	4082	Bellechasse	12
