Year	Premier	Runner Up	Scores	Venue	Crowd	Margin	Winner Season	Runner Up Season
1988	Hawthorn	Geelong	10.10 (70) – 9.13 (67)	Waverley Park	35803	3	Premier	9th
1989	Melbourne	Geelong	10.16 (76) – 9.13 (67)	Waverley Park	48720	9	Semi Finalist	Grand Finalist
1990	Essendon	North Melbourne	17.10 (112) – 10.16 (76)	Waverley Park	48559	36	Grand Finalist	6th
1991	Hawthorn	North Melbourne	14.19 (103) – 7.12 (54)	Waverley Park	46629	49	Premier	8th
1992	Hawthorn	Fitzroy	19.14 (128) – 8.15 (63)	Waverley Park	49453	65	Elimination Finalist	10th
1993	Essendon	Richmond	14.18 (102) – 11.13 (79)	Waverley Park	75533	23	Premier	14th
1994	Essendon	Adelaide	15.12 (102) – 9.14 (68)	Waverley Park	43925	34	10th	11th
1995	North Melbourne	Adelaide	14.9 (93) – 8.15 (63)	Waverley Park	39393	30	Preliminary Finalist	11th
1996	St Kilda	Carlton	20.10 (130) – 10.12 (72)	Waverley Park	66888	58	10th	Semi Finalist
1997	Carlton	Geelong	14.13 (97) – 5.10 (40)	MCG	63898	57	11th	Semi Finalist
1998	North Melbourne	St Kilda	14.13 (97) – 12.11 (83)	Waverley Park	63760	14	Grand Finalist	Semi Finalist
1999	Hawthorn	Port Adelaide	12.11 (83) – 5.6 (36)	Waverley Park	74786	47	9th	Elimination Finalist
2000	Essendon	North Melbourne	16.21 (117) – 11.10 (76)	MCG	56720	41	Premier	Preliminary Finalist
2001	Port Adelaide	Brisbane Lions	17.9 (111) – 3.8 (26)	Football Park	35304	85	Semi Finalist	Premier
2002	Port Adelaide	Richmond	10.11 (71) – 9.8 (62)	Colonial Stadium	36481	9	Preliminary Finalist	14th
2003	Adelaide	Collingwood	2.13.8 (104) – 1.9.10 (73)	Telstra Dome	43571	31	Semi Finalist	Grand Finalist
2004	St Kilda	Geelong	1.14.5 (98) – 1.10.7 (76)	Telstra Dome	50533	22	Preliminary Finalist	Preliminary Finalist
2005	Carlton	West Coast Eagles	1.14.18 (111) – 1.11.9 (84)	Telstra Dome	43391	27	16th (Wooden Spoon)	Grand Finalist
2006	Geelong	Adelaide	3.10.5 (92) – 1.10.15 (84)	AAMI Stadium	30707	8	9th	Preliminary Finalist
2007	Carlton	Brisbane Lions	2.12.7 (97) – 0.10.12 (72)	Telstra Dome	46094	25	15th	10th
2008	St Kilda	Adelaide	2.7.9 (69) – 0.9.10 (64)	AAMI Stadium	26823	5	Preliminary Finalist	Elimination Finalist
2009	Geelong	Collingwood	0.18.19 (127) – 1.6.6 (51)	Etihad Stadium	37277	76	Premier	Preliminary Finalist
2010	Western Bulldogs	St Kilda	2.13.8 (104) – 0.9.10 (64)	Etihad Stadium	42381	40	Preliminary Finalist	Grand Finalist
2011	Collingwood	Essendon	1.15.9 (108) – 0.13.8 (86)	Etihad Stadium	45304	22	Grand Finalist	Elimination Finalist
2012	Adelaide	West Coast Eagles	2.10.17 (95) – 2.5.13 (61)	AAMI Stadium	27376	34	Preliminary Finalist	Semi Finalist
2013	Brisbane Lions	Carlton	0.16.13 (109) – 2.7.9 (69)	Etihad Stadium	24884	40	12th	Semi Finalist
