Game	Date	Venue	Opponent	Result F–A	Attendance
1	17 August 2002	A	Southampton	0–0	28341
2	24 August 2002	H	Fulham	2–2	28588
3	31 August 2002	H	Blackburn Rovers	1–0	28270
4	3 September 2002	A	Manchester United	0–1	67464
5	10 September 2002	H	Sunderland	3–0	32155
6	14 September 2002	A	Everton	1–2	32240
7	21 September 2002	H	Birmingham City	1–0	29869
8	28 September 2002	A	Tottenham Hotspur	3–0	36082
9	5 October 2002	H	Bolton Wanderers	2–0	31005
10	20 October 2002	A	Charlton Athletic	0–1	26271
11	26 October 2002	H	Leeds United	2–2	34723
12	4 November 2002	A	Newcastle United	0–2	51558
13	9 November 2002	H	Liverpool	1–0	34747
14	16 November 2002	A	Chelsea	0–1	39064
15	23 November 2002	H	Manchester City	3–1	31510
16	30 November 2002	A	West Bromwich Albion	0–1	27029
17	7 December 2002	H	West Ham United	2–2	28283
18	14 December 2002	H	Chelsea	1–1	29160
19	21 December 2002	A	Arsenal	0–2	38003
20	26 December 2002	H	Manchester United	3–1	34673
21	28 December 2002	A	Aston Villa	0–1	33637
22	1 January 2003	A	Blackburn Rovers	0–1	23413
23	11 January 2003	H	Southampton	2–2	27443
24	19 January 2003	A	Fulham	0–1	14253
25	28 January 2003	H	Aston Villa	2–5	27546
26	8 February 2003	A	Liverpool	1–1	42247
27	22 February 2003	A	Sunderland	3–1	42134
28	1 March 2003	H	Everton	1–1	32473
29	5 March 2003	H	Newcastle United	1–0	34814
30	15 March 2003	A	Leeds United	3–2	39073
31	22 March 2003	H	Charlton Athletic	1–1	29080
32	5 April 2003	H	West Bromwich Albion	3–0	30187
33	12 April 2003	A	Manchester City	0–0	34793
34	19 April 2003	H	Arsenal	0–2	34724
35	21 April 2003	A	West Ham United	0–1	35019
36	26 April 2003	A	Birmingham City	0–3	28821
37	3 May 2003	H	Tottenham Hotspur	5–1	30230
38	11 May 2003	A	Bolton Wanderers	1–2	27241
