Game	Date	Team	Score	High points	Location Attendance	Record
17	2 December 2007	@Knicks	115–104	Two-way tie (28)	18869	13–4
18	4 December 2007	@ Pacers	121–117	Amar'e Stoudemire (42)	11435	14–4
19	5 December 2007	@ Raptors	136–123	Leandro Barbosa (35)	19800	15–4
20	7 December 2007	@ Wizards	122–107	Amar'e Stoudemire (27)	20173	16–4
21	8 December 2007	@ Timberwolves	93–100	Shawn Marion (18)	19356	16–5
22	10 December 2007	Heat	117–113	Four-way tie (19)	18422	16–6
23	12 December 2007	Jazz	98–103	Steve Nash (29)	18422	17–6
24	15 December 2007	@ Hornets	98–101	Leandro Barbosa (19)	13705	17–7
25	17 December 2007	@ Spurs	100–95	Grant Hill (22)	18797	18–7
26	19 December 2007	@ Mavericks	105–108	Amar'e Stoudemire (25)	20316	18–8
27	22 December 2007	Raptors	103–122	Leandro Barbosa (31)	18422	19–8
28	25 December 2007	@Lakers	115–122	Steve Nash (24)	18997	19–9
29	27 December 2007	@Clippers	108–88	Amar'e Stoudemire (30)	17871	20–9
30	28 December 2007	Clippers	88–94	Amar'e Stoudemire (28)	18422	21–9
31	30 December 2007	@Kings	117–102	Amar'e Stoudemire (31)	15962	22–9
