Rank	Team	Country	Value ($M)	% change on year	Revenue ($M)
1	Manchester United	England	1864	1	428
2	Real Madrid	Spain	1400	10	537
3	Arsenal	England	1200	1	336
4	Bayern Munich	Germany	1100	6	396
5	Barcelona	Spain	975	2	488
6	Milan	Italy	838	5	289
7	Chelsea	England	658	2	313
8	Juventus	Italy	628	4	251
9	Liverpool	England	552	33	276
10	Internazionale	Italy	441	7	275
11	Tottenham Hotspur F.C.	England	412	11	179
12	Schalke	Germany	377	2	171
13	Lyon	France	358	8	179
14	Hamburg	Germany	340	3	179
15	Manchester City	England	291	13	153
16	Stuttgart	Germany	281	0	141
17	Werder Bremen	Germany	279	2	147
18	Marseille	France	277	6	173
19	Atlético Madrid	Spain	275	6	153
20	Borussia Dortmund	Germany	260	1	124
