Name	Type	Inaug.	No Blocks	No Units
Carado Garden	PSPS	1990	6	1988
Chun Shek Estate	Public	1984	4	2166
Fung Shing Court	HOS	1985	3	2448
Grandway Garden	PSPS	1989	3	864
Hin Keng Estate	TPS	1986	8	1004
Hin Yiu Estate	Public	2005	1	799
Holford Garden	PSPS	1985	3	800
Ka Keng Court	HOS	2002	2	640
Ka Tin Court	HOS	1988	6	1680
King Tin Court	HOS	1983	6	1424
Lung Hang Estate	Public	1983	6	4376
May Shing Court	HOS	1982	3	2192
Mei Chung Court	HOS	1996	6	1940
Mei Lam Estate	Public	1981	4	4156
Mei Tin Estate	Public	2006	4	3164
Sun Chui Estate	Public	1983	8	6692
Sun Tin Wai Estate	Public	1981	8	3430
