Date	Opponent	Venue	Result	Attendance
14 August 2004	Manchester City	A	1-1	44026
21 August 2004	Bolton Wanderers	H	2-0	17541
25 August 2004	Middlesbrough	H	0-2	17759
30 August 2004	Portsmouth	A	3-4	19728
11 September 2004	Arsenal	H	0-3	21681
18 September 2004	West Bromwich Albion	A	1-1	24128
25 September 2004	Southampton	H	1-0	19237
4 October 2004	Crystal Palace	A	0-2	21825
16 October 2004	Liverpool	H	2-4	21884
23 October 2004	Aston Villa	A	0-2	34460
30 October 2004	Tottenham Hotspur	H	2-0	21137
7 November 2004	Newcastle United	A	4-1	51118
13 November 2004	Chelsea	H	1-4	21877
20 November 2004	Everton	A	0-1	34763
27 November 2004	Blackburn Rovers	H	0-2	19103
4 December 2004	Norwich City	A	1-0	23755
13 December 2004	Manchester United	H	1-1	21940
20 December 2004	Charlton Athletic	A	1-2	26108
26 December 2004	Arsenal	A	0-2	38047
28 December 2004	Birmingham City	H	2-3	18706
1 January 2005	Crystal Palace	H	3-1	18680
5 January 2005	Southampton	A	3-3	27343
16 January 2005	West Bromwich Albion	H	1-0	16180
22 January 2005	Birmingham City	A	2-1	28512
2 February 2005	Aston Villa	H	1-1	17624
5 February 2005	Liverpool	A	1-3	43534
26 February 2005	Tottenham Hotspur	A	0-2	35885
5 March 2005	Charlton Athletic	H	0-0	18290
19 March 2005	Manchester United	A	0-1	67959
3 April 2005	Portsmouth	H	3-1	20502
9 April 2005	Bolton Wanderers	A	1-3	25493
16 April 2005	Manchester City	H	1-1	21796
19 April 2005	Middlesbrough	A	1-1	30650
23 April 2005	Chelsea	A	1-3	42081
30 April 2005	Everton	H	2-0	21881
4 May 2005	Newcastle United	H	1-3	19003
7 May 2005	Blackburn Rovers	A	3-1	18991
15 May 2005	Norwich City	H	6-0	21927
