Team	Location	Venue	Capacity	Position in 2007
BATE	Borisov	City Stadium, Borisov	5500	1
Gomel	Gomel	Central, Gomel	11800	2
Shakhtyor	Soligorsk	Stroitel	5000	3
Torpedo	Zhodino	Torpedo, Zhodino	3020	4
MTZ-RIPO	Minsk	Traktor	17600	5
Neman	Grodno	Neman	6300	6
Naftan	Novopolotsk	Atlant	6500	7
Vitebsk	Vitebsk	Central, Vitebsk	8300	8
Dinamo Minsk	Minsk	Dinamo, Minsk	41040	9
Smorgon	Smorgon	Yunost	3500	10
Darida	Minsk Raion	Darida	6000	11
Dinamo Brest	Brest	OSK Brestskiy	10080	12
Dnepr	Mogilev	Spartak	11200	13
Savit	Mogilev	Torpedo, Mogilev	3500	First league , 1
Granit	Mikashevichi	OSK Brestskiy	3130	First league , 2
Lokomotiv	Minsk	City Stadium, Molodechno	4800	First league , 3
