Province	Inhabitants	established	President	Party	Election
Milan	3156694	1754	Guido Podestà	The People of Freedom	2009
Brescia	1256025	1797	Daniele Molgora	Lega Lombarda	2009
Bergamo	1098740	1797	Ettore Pirovano	Lega Lombarda	2009
Varese	883285	1927	Dario Galli , commissioner	Lega Lombarda	2007
Monza and Brianza	849636	2009	Dario Allevi	The People of Freedom	2009
Como	598988	1786	Leonardo Carioni , commissioner	Lega Lombarda	2007
Pavia	548307	1786	Daniele Bosone	Democratic Party	2011
Mantua	415442	1797	Alessandro Pastacci	Democratic Party	2011
Cremona	363606	1786	Massimiliano Salini	The People of Freedom	2009
Lecco	340167	1995	Daniele Nava	The People of Freedom	2009
Lodi	227665	1995	Pietro Foroni	Lega Lombarda	2009
Sondrio	183169	1797	Massimo Sertori	Lega Lombarda	2009
