Name	No. Specimens	Abbr.	Country	City
Real Jardín Botánico	850000	MA	Spain	Madrid
University of Coimbra	800000	COI	Portugal	Coimbra
Institut Botànic de Barcelona	700000	BC	Spain	Barcelona
Instituto de Investigação Científica Tropical	300000	LISC	Portugal	Lisbon
Universitat de Barcelona	300000	BCN	Spain	Barcelona
Universitat de Sevilla	300000	SEV	Spain	Seville
Instituto Pirenaico de Ecología, C.S.I.C.	260000	JACA	Spain	Jaca
Museu Nacional de História Natural, Lisboa	250000	LISU	Portugal	Lisbon
Universidad Complutense	175000	MAF	Spain	Madrid
Universitat de València	160000	VAL	Spain	Valencia
Museo de Ciencias Naturales de Alava	140000	VIT	Spain	Vitoria-Gasteiz
Universidad de Salamanca	110000	SALA	Spain	Salamanca
Estação Agronómica Nacional	90000	LISE	Portugal	Oeiras
Universidad de La Laguna	83000	TFC	Spain	La Laguna , Canary Islands
Universidad de Córdoba	80000	COA	Spain	Córdoba
Universidad de León	78000	LEB	Spain	León
Alto de Zorroaga s.n.	75000	ARAN	Spain	Donostia-San Sebastián
Universidade do Porto	73800	PO	Portugal	Porto
Universidad de Santiago de Compostela	71000	SANT	Spain	Santiago de Compostela , Galicia
Universidad de Murcia	61000	MUB	Spain	Murcia
Universidad de Málaga	55000	MGC	Spain	Málaga
Universidad de Alicante	50000	ABH	Spain	Alicante
Jardín Botánico Atlántico, Ayuntamiento de Gijón	50000	JBAG	Spain	Gijón , Asturias
