Place	Player	Country	Score	To par	Money { £ )
1	Seve Ballesteros	Spain	67-71-70-65=273	−11	80000
2	Nick Price	Zimbabwe	70-67-69-69=275	−9	60000
3	Nick Faldo	England	71-69-68-71=279	−5	47000
T4	Fred Couples	United States	73-69-71-68=281	−3	33500
T4	Gary Koch	United States	71-72-70-68=281	−3	33500
6	Peter Senior	Australia	70-73-70-69=282	−2	27000
T7	Isao Aoki	Japan	72-71-73-67=283	−1	21000
T7	David Frost	South Africa	71-75-69-68=283	−1	21000
T7	Sandy Lyle	Scotland	73-69-67-74=283	−1	21000
T7	Payne Stewart	United States	73-75-68-67=283	−1	21000
