Place	Player	Country	Score	To par	Money ( £ )
1	Tom Watson	United States	67-68-70-70=275	–9	40000
T2	Andy Bean	United States	70-69-70-67=276	–8	23000
T2	Hale Irwin	United States	69-68-72-67=276	–8	23000
4	Graham Marsh	Australia	69-70-74-64=277	–7	15000
5	Lee Trevino	United States	69-66-73-70=278	–6	13600
T6	Seve Ballesteros	Spain	71-71-69-68=279	–5	12250
T6	Harold Henning	South Africa	71-69-70-69=279	–5	12250
T8	Denis Durnian	England	73-66-74-67=280	–4	9625
T8	Nick Faldo	England	68-68-71-73=280	–4	9625
T8	Christy O'Connor Jnr	Ireland	72-69-71-68=280	–4	9625
T8	Bill Rogers	United States	67-71-73-69=280	–4	9625
