Country	Airport	City	2008	Change (08/07)
South Africa	OR Tambo International Airport	Johannesburg	18501628	0 4.3%
Egypt	Cairo International Airport	Cairo	14360029	0 14.2%
Spain	Gran Canaria Airport	Las Palmas de Gran Canaria	10207283	unknown
South Africa	Cape Town International Airport	Cape Town	8077435	0 2.9%
Egypt	Sharm el-Sheikh International Airport	Sharm el-Sheikh	7747422	0 20.8%
Egypt	Hurghada International Airport	Hurghada	6741017	0 13.4%
Morocco	Mohammed V International Airport	Casablanca	6209711	0 6.0%
Nigeria	Murtala Muhammed International Airport	Lagos	5184354	0 23.5%
Kenya	Jomo Kenyatta International Airport	Nairobi	4751159	0 3.0%
South Africa	Durban International Airport	Durban	4458715	0 7.1%
Tunisia	Monastir International Airport	Monastir	4262263	0 0.8%
Tunisia	Carthage Airport	Tunis	4218328	0 3.5%
Algeria	Houari Boumedienne Airport	Algiers	4126795	0 6.0%
Ethiopia	Bole International Airport	Addis Ababa	3325618	0 9.0%
Morocco	Marrakech-Menara Airport	Marrakech	3100495	0 1.6%
Nigeria	Nnamdi Azikiwe International Airport	Abuja	2647198	0 7.0%
Tunisia	Djerba-Zarzis Airport	Djerba	2621931	0 2.8%
Mauritius	Sir Seewoosagur Ramgoolam International Airport	Plaisance	2609265	0 1.4%
Sudan	Khartoum International Airport	Khartoum	2368642	unknown
Angola	Quatro de Fevereiro Airport	Luanda	2222638	unknown
Egypt	Luxor International Airport	Luxor	2160462	0 9.7%
Senegal	Yoff Airport	Dakar	1802559	0 5.0%
France	Roland Garros Airport	Saint-Denis, Réunion	1654105	unknown
Tanzania	Julius Nyerere International Airport	Dar es Salaam	1542778	unknown
South Africa	Port Elizabeth Airport	Port Elizabeth	1468176	unknown
Ghana	Kotoka International Airport	Accra	1364654	unknown
Egypt	Aswan International Airport	Aswan	1106809	unknown
Egypt	Alexandria International Airport	Alexandria	1102497	unknown
